full_word,abbreviation
AVENUE,AVE
STREET,ST
BOULEVARD,BLVD
DRIVE,DR
ROAD,RD
PARKWAY,PKWY
LANE,LN
APARTMENT,APT
SUITE,STE
NORTH,N
SOUTH,S
WEST,W
EAST,E
COURT,CR
TERRACE,TERR
CIRCLE,CIR
PLACE,PL
TRAIL,TRL
BUILDING,BLDG
FREEWAY,FWY
