full_word,abbreviation
HOSPITAL,HSPTL
HOSP,HSPTL
CENTER,CTR
CENTRE,CTR
CLINIC,CLNC
MEDICAL,MED
UNIVERSITY,UNIV
SAINT,ST
MOUNT,MT
ASSOCIATION,ASSN
COMPANY,CO
CORPORATION,CORP
LIMITED,LTD
